Date,Account Created Date,toxicity
4/22/2022,9,0.03893883
4/22/2022,4,0.061363822
4/22/2022,1,0.040581062
4/22/2022,1,0.06071894
4/22/2022,5,0.02187985
4/22/2022,2,0.021539701
4/22/2022,1,0.013764233
4/22/2022,3,0.012438376
4/22/2022,2,0.02560108
4/22/2022,1,0.025462745
4/22/2022,5,0.021084194
4/23/2022,1,0.011083564
4/23/2022,1,0.010554841
4/23/2022,1,0.010554841
4/23/2022,2,0.059269411
4/23/2022,3,0.136337018
4/24/2022,1,0.061816853
4/25/2022,1,0.013019693
4/25/2022,4,0.020292963
4/25/2022,7,0.035823025
4/25/2022,3,0.043051536
4/25/2022,6,0.181199976
4/27/2022,1,0.014241619
4/27/2022,1,0.014241619
5/2/2022,10,0.020488426
5/4/2022,1,0.02167123
5/4/2022,1,0.021609172
5/6/2022,7,0.033683785
5/6/2022,5,0.047130402
5/7/2022,1,0.101585224
5/7/2022,1,0.052239865
5/7/2022,1,0.022383962
5/7/2022,2,0.038307481
5/12/2022,1,0.023016442
5/16/2022,2,0.03323098
5/16/2022,3,0.275524583
5/17/2022,3,0.04472576
5/17/2022,3,0.044725748
5/17/2022,8,0.046849151
5/17/2022,7,0.01774266
5/19/2022,1,0.015204521
5/19/2022,1,0.015204492
5/21/2022,1,0.13092113
5/22/2022,1,0.011661213
5/23/2022,3,0.302896872
5/30/2022,1,0.011146841
5/30/2022,1,0.011146841
5/30/2022,1,0.029246561
6/1/2022,1,0.022303866
6/1/2022,4,0.138677394
6/1/2022,5,0.185698907
6/1/2022,4,0.025124627
6/1/2022,1,0.01034135
6/1/2022,1,0.023479443
6/1/2022,5,0.047602246
6/1/2022,3,0.077659699
6/1/2022,2,0.116370317
6/1/2022,5,0.084411894
6/2/2022,5,0.038484896
6/2/2022,1,0.010775669
6/2/2022,1,0.16050494
6/2/2022,1,0.40853363
6/3/2022,1,0.99485576
6/3/2022,1,0.025081398
6/3/2022,2,0.0191796
6/4/2022,1,0.012120753
6/4/2022,1,0.011335281
